run,examples,supervised_val_loss,supervised_val_ppl,generation_artifacts,interpretation
sft_v1_dirty,65056,3.8272,45.93,role/content and code-like artifacts observed,diagnostic failed SFT due to dirty data
sft_v2_superclean,45000,4.099665327710907,60.32009675403358,technical artifacts removed,"format cleaned, semantic quality still weak"
